epoch,critic_loss,gen_loss
1,-462.665649,-51.644485
2,-377.560028,-66.839417
3,-297.972961,-46.091114
4,-428.049103,-6.38361
5,-375.218628,-8.265196
6,-323.890808,-9.845732
7,-384.593262,-10.531622
8,-344.26709,-7.030854
9,-305.459747,-27.970058
10,-282.310486,-20.833885
11,-190.105423,-49.616493
12,-174.678802,-87.099388
13,-133.621658,-83.871056
14,-96.055435,-47.276611
15,-96.591751,-101.409988
16,-58.835724,-35.124123
17,-54.374767,-65.562752
18,-45.65078,-14.572201
19,-43.117485,-36.634117
20,-52.92112,-5.338955
21,-43.697899,-14.421701
22,-48.956367,-81.571228
23,-36.805279,-28.594837
24,-42.199753,-12.957056
25,-37.299778,-2.024508
26,-35.678383,-1.880889
27,-39.325607,-28.183838
28,-37.43787,-44.940132
29,-36.624519,41.530777
30,-35.502026,-2.024368
31,-37.589451,11.056282
32,-39.768291,-4.626883
33,-38.365849,-0.188823
34,-35.048767,-11.830599
35,-49.566513,21.47014
36,-30.775564,30.823318
37,-37.330544,56.940094
38,-42.330963,-1.25367
39,-31.131607,9.041577
40,-33.179726,-32.910542
41,-35.591675,-62.237289
42,-30.837547,40.092751
43,-36.139328,-55.089073
44,-41.882202,6.326428
45,-33.876152,-60.186733
46,-29.035994,-9.924725
47,-30.148012,73.98381
48,-29.598747,-2.829873
49,-31.194918,18.14349
50,-26.522991,28.926537
51,-27.179422,-7.58034
52,-29.159698,8.986501
53,-32.377926,10.351217
54,-26.21674,35.07917
55,-29.934784,-0.526493
56,-36.133018,43.509552
57,-38.400448,-15.487293
58,-43.885662,48.267586
59,-24.208035,51.773674
60,-30.15905,35.583817
61,-40.722816,10.707884
62,-30.912775,55.127647
63,-35.213947,71.688614
64,-28.058706,-43.13253
65,-22.262926,6.710048
66,-26.494352,38.983879
67,-29.755566,-23.697735
68,-29.168959,71.249512
69,-26.807938,-73.416534
70,-33.015129,-6.252876
71,-25.864687,12.975477
72,-32.50555,-35.799126
73,-28.17054,-32.433823
74,-36.805588,4.125795
75,-35.203815,5.023376
76,-28.898293,-18.784584
77,-25.536514,-35.572639
78,-27.286304,-6.759604
79,-33.011101,19.531921
80,-32.67804,-37.477528
81,-30.810326,4.033892
82,-27.100145,-26.743298
83,-28.269695,26.45051
84,-34.382965,47.494625
85,-30.497805,78.79425
86,-30.67836,-5.010558
87,-23.918289,35.113869
88,-23.539894,-39.986481
89,-27.214062,49.529877
90,-24.931042,-17.81706
91,-34.155262,45.523323
92,-27.126465,-26.44696
93,-29.982624,74.465721
94,-37.623619,16.531002
95,-35.994072,-27.019045
96,-27.734642,42.608501
97,-28.409698,14.620581
98,-28.447233,-12.471342
99,-34.223995,36.13134
100,-32.332939,7.623235
101,-32.927486,46.870678
102,-32.265671,-12.314211
103,-29.939945,-22.865265
104,-42.209747,7.067729
105,-47.227654,-78.537231
106,-29.635464,-74.700943
107,-34.113735,-28.296993
108,-31.519703,49.278427
109,-31.610901,16.891438
110,-30.919121,19.34528
111,-31.429764,13.169846
112,-35.238113,14.748251
113,-29.453794,8.676161
114,-38.815613,-45.46212
115,-33.733791,-23.661652
116,-31.77964,32.284374
117,-36.455517,-26.703939
118,-37.122978,-7.385377
119,-29.173096,7.33856
120,-40.17902,-45.855766
121,-29.153275,-10.888157
122,-33.731457,-33.008965
123,-39.736912,-34.922985
124,-28.131811,-2.253315
125,-43.452908,35.298477
126,-34.95332,-18.310163
127,-32.282043,-82.22789
128,-33.956329,21.448393
129,-38.287476,52.25206
130,-33.334484,45.431969
131,-35.402489,-36.027554
132,-44.895016,-8.611103
133,-30.646021,-7.823559
134,-37.822578,12.967764
135,-33.683849,-12.222365
136,-38.480877,-6.680692
137,-33.521763,-2.332379
138,-35.355553,-25.603043
139,-39.536728,-3.569736
140,-35.746719,17.237637
141,-35.424519,15.404112
142,-36.111969,42.798931
143,-33.026432,25.1924
144,-34.087807,46.857578
145,-44.342659,28.885723
146,-40.364014,11.858807
147,-41.588238,-50.610786
148,-47.410156,24.448101
149,-41.482605,7.520855
150,-50.157639,-66.549515
151,-35.141319,-44.676971
152,-57.200287,14.114575
153,-57.240337,53.842636
154,-56.278912,-30.801945
155,-40.927338,-12.914803
156,-45.574192,49.572189
157,-37.433434,11.084352
158,-38.653217,-9.299904
159,-36.091072,24.790268
160,-48.415115,-17.004694
161,-44.360893,-26.985918
162,-34.778534,-13.180961
163,-54.23613,16.275766
164,-61.750168,9.398769
165,-37.352108,-61.823353
166,-36.184143,20.923691
167,-35.655846,41.768761
168,-49.72319,48.317467
169,-45.640976,-77.767815
170,-33.950092,8.578434
171,-37.725723,-40.415184
172,-41.603996,69.311256
173,-46.177208,15.437366
174,-56.024315,45.02504
175,-42.71196,1.329534
176,-41.432613,15.640963
177,-34.109009,32.747231
178,-39.06086,2.850823
179,-50.118866,-22.314598
180,-46.24572,55.926258
181,-40.176971,36.51844
182,-47.809708,-28.054745
183,-37.402725,-27.017857
184,-49.958912,-25.135054
185,-39.472057,-35.642097
186,-45.626469,10.980272
187,-61.669708,46.741669
188,-48.113983,31.379723
189,-44.087837,30.799847
190,-45.048115,1.755265
191,-45.586754,-20.204407
192,-36.277321,5.31806
193,-45.172558,-37.211235
194,-39.417255,33.358566
195,-49.283104,20.594986
196,-38.284077,-34.507435
197,-35.623604,18.301783
198,-42.95845,-25.975321
199,-46.023602,13.311117
200,-38.317627,25.191168
